"variable","value","total","perc_of_total"
"gender_category","1",69,0.9078947
"gender_category","2",7,0.0921053
"age_category","1",2,0.0263158
"age_category","2",61,0.8026316
"age_category","3",13,0.1710526
"edu_levl_category","2",11,0.1447368
"edu_levl_category","3",29,0.3815789
"edu_levl_category","4",23,0.3026316
"edu_levl_category","5",12,0.1578947
"edu_levl_category","6",1,0.0131579
"exp_category","1",1,0.0131579
"exp_category","2",4,0.0526316
"exp_category","3",43,0.5657895
"exp_category","4",12,0.1578947
"exp_category","5",16,0.2105263
