"variable","value","total","perc_of_total"
"p_hlth_hhs_training_src","2",3,"0.0394737"
"p_hlth_hhs_training_src","3",2,"0.0263158"
"p_hlth_hhs_training_src","4",1,"0.0131579"
"p_hlth_hhs_training_src","5",3,"0.0394737"
"p_hlth_hhs_training_src","Other",0,"0"
"p_hlth_info_covid_src","1",53,"0.697368"
"p_hlth_info_covid_src","2",8,"0.105263"
"p_hlth_info_covid_src","3",65,"0.855263"
"p_hlth_info_covid_src","4",25,"0.328947"
"p_hlth_info_covid_src","5",40,"0.526316"
"p_hlth_info_covid_src","6",71,"0.934211"
"p_hlth_info_covid_src","7",76,"1"
"p_hlth_info_covid_src","Other",0,"0"
"n_rcvry_preferred_incentives","1",63,"0.828947"
"n_rcvry_preferred_incentives","2",35,"0.460526"
"n_rcvry_preferred_incentives","3",54,"0.710526"
"n_rcvry_preferred_incentives","4",51,"0.671053"
"n_rcvry_preferred_incentives","5",16,"0.210526"
"n_rcvry_preferred_incentives","6",45,"0.592105"
"n_rcvry_preferred_incentives","7",63,"0.828947"
"n_rcvry_preferred_incentives","8",66,"0.868421"
"n_rcvry_preferred_incentives","9",30,"0.394737"
"n_rcvry_preferred_incentives","10",19,"0.25"
"n_rcvry_preferred_incentives","11",52,"0.684211"
"n_rcvry_preferred_incentives","12",76,"1"
"n_rcvry_preferred_incentives","13",76,"1"
"n_rcvry_preferred_incentives","Other",0,"0"
"b_empl_trsm_major_districts","1",76,"1"
"b_empl_trsm_major_districts","2",76,"1"
"b_empl_trsm_major_districts","3",73,"0.960526"
"b_empl_trsm_major_districts","4",76,"1"
"b_empl_trsm_major_districts","5",74,"0.973684"
"b_empl_trsm_major_districts","6",76,"1"
"b_empl_trsm_major_districts","7",75,"0.986842"
"b_empl_trsm_major_districts","8",76,"1"
"b_empl_trsm_major_districts","9",73,"0.960526"
"b_empl_trsm_major_districts","10",66,"0.868421"
"b_empl_trsm_major_districts","11",75,"0.986842"
"b_empl_trsm_major_districts","12",57,"0.75"
"b_empl_trsm_major_districts","13",75,"0.986842"
"b_empl_trsm_major_districts","14",75,"0.986842"
"b_empl_trsm_major_districts","15",76,"1"
"b_empl_trsm_major_districts","16",72,"0.947368"
"b_empl_trsm_major_districts","17",67,"0.881579"
"b_empl_trsm_major_districts","18",75,"0.986842"
"b_empl_trsm_major_districts","19",75,"0.986842"
"b_empl_trsm_major_districts","20",55,"0.723684"
"b_empl_trsm_major_districts","21",52,"0.684211"
"b_empl_trsm_major_districts","22",76,"1"
"b_empl_trsm_major_districts","23",32,"0.421053"
"b_empl_trsm_major_districts","24",74,"0.973684"
"b_empl_trsm_major_districts","25",63,"0.828947"
"b_empl_trsm_major_districts","26",69,"0.907895"
"b_empl_trsm_major_districts","27",71,"0.934211"
"b_empl_trsm_major_districts","28",74,"0.973684"
"b_empl_trsm_major_districts","29",68,"0.894737"
"b_empl_trsm_major_districts","30",75,"0.986842"
"b_empl_trsm_major_districts","31",73,"0.960526"
"b_empl_trsm_major_districts","32",76,"1"
"b_empl_trsm_major_districts","33",69,"0.907895"
"b_empl_trsm_major_districts","34",25,"0.328947"
"b_empl_trsm_major_districts","35",53,"0.697368"
"b_empl_trsm_major_districts","36",69,"0.907895"
"b_empl_trsm_major_districts","37",75,"0.986842"
"b_empl_trsm_major_districts","38",68,"0.894737"
"b_empl_trsm_major_districts","39",60,"0.789474"
"b_empl_trsm_major_districts","40",76,"1"
"b_empl_trsm_major_districts","41",76,"1"
"b_empl_trsm_major_districts","42",27,"0.355263"
"b_empl_trsm_major_districts","43",74,"0.973684"
"b_empl_trsm_major_districts","44",65,"0.855263"
"b_empl_trsm_major_districts","45",33,"0.434211"
"b_empl_trsm_major_districts","46",56,"0.736842"
"b_empl_trsm_major_districts","47",76,"1"
"b_empl_trsm_major_districts","48",76,"1"
"b_empl_trsm_major_districts","49",69,"0.907895"
"b_empl_trsm_major_districts","50",70,"0.921053"
"b_empl_trsm_major_districts","51",73,"0.960526"
"b_empl_trsm_major_districts","52",75,"0.986842"
"b_empl_trsm_major_districts","53",75,"0.986842"
"b_empl_trsm_major_districts","54",76,"1"
"b_empl_trsm_major_districts","55",76,"1"
"b_empl_trsm_major_districts","56",69,"0.907895"
"b_empl_trsm_major_districts","57",34,"0.447368"
"b_empl_trsm_major_districts","58",76,"1"
"b_empl_trsm_major_districts","59",73,"0.960526"
"b_empl_trsm_major_districts","60",71,"0.934211"
"b_empl_trsm_major_districts","61",72,"0.947368"
"b_empl_trsm_major_districts","62",74,"0.973684"
"b_empl_trsm_major_districts","63",76,"1"
"b_empl_trsm_major_districts","64",63,"0.828947"
"b_empl_trsm_major_districts","65",76,"1"
"b_empl_trsm_major_districts","66",76,"1"
"b_empl_trsm_major_districts","67",74,"0.973684"
"b_empl_trsm_major_districts","68",59,"0.776316"
"b_empl_trsm_major_districts","69",76,"1"
"b_empl_trsm_major_districts","70",9,"0.118421"
"b_empl_trsm_major_districts","71",75,"0.986842"
"b_empl_trsm_major_districts","72",75,"0.986842"
"b_empl_trsm_major_districts","73",74,"0.973684"
"b_empl_trsm_major_districts","74",71,"0.934211"
"b_empl_trsm_major_districts","75",59,"0.776316"
"b_empl_trsm_major_districts","76",73,"0.960526"
"b_empl_trsm_major_districts","77",76,"1"
"b_empl_trsm_org","1",73,"0.960526"
"b_empl_trsm_org","2",76,"1"
"b_empl_trsm_org","3",13,"0.171053"
"b_empl_trsm_org","4",76,"1"
"b_empl_trsm_org","5",74,"0.973684"
"b_empl_trsm_org","6",76,"1"
"b_empl_trsm_org","7",72,"0.947368"
"b_empl_trsm_org","8",66,"0.868421"
"b_empl_trsm_org","Other",10,"0.131579"
"o_rcvry_chllng_trsm_revival","1",35,"0.460526"
"o_rcvry_chllng_trsm_revival","2",9,"0.118421"
"o_rcvry_chllng_trsm_revival","3",23,"0.302632"
"o_rcvry_chllng_trsm_revival","4",19,"0.25"
"o_rcvry_chllng_trsm_revival","5",65,"0.855263"
"o_rcvry_chllng_trsm_revival","6",73,"0.960526"
"o_rcvry_chllng_trsm_revival","7",75,"0.986842"
"o_rcvry_chllng_trsm_revival","Other",3,"0.0394737"
"b_empl_occpatn_pre_covid","1",76,"1"
"b_empl_occpatn_pre_covid","2",69,"0.907895"
"b_empl_occpatn_pre_covid","3",14,"0.184211"
"b_empl_occpatn_pre_covid","4",72,"0.947368"
"b_empl_occpatn_pre_covid","5",54,"0.710526"
"b_empl_occpatn_pre_covid","6",76,"1"
"b_empl_occpatn_pre_covid","7",76,"1"
"b_empl_occpatn_pre_covid","8",76,"1"
"b_empl_occpatn_pre_covid","9",76,"1"
"b_empl_occpatn_pre_covid","10",76,"1"
"b_empl_occpatn_pre_covid","11",76,"1"
"b_empl_occpatn_pre_covid","12",76,"1"
"b_empl_occpatn_pre_covid","13",76,"1"
"b_empl_occpatn_pre_covid","14",76,"1"
"b_empl_occpatn_pre_covid","15",73,"0.960526"
"b_empl_occpatn_pre_covid","16",76,"1"
"b_empl_occpatn_pre_covid","Other",0,"0"
"o_rcvry_chllng_trsm_revival","1",35,"0.460526"
"o_rcvry_chllng_trsm_revival","2",9,"0.118421"
"o_rcvry_chllng_trsm_revival","3",23,"0.302632"
"o_rcvry_chllng_trsm_revival","4",19,"0.25"
"o_rcvry_chllng_trsm_revival","5",65,"0.855263"
"o_rcvry_chllng_trsm_revival","6",73,"0.960526"
"o_rcvry_chllng_trsm_revival","7",75,"0.986842"
"o_rcvry_chllng_trsm_revival","Other",3,"0.0394737"
"o_impct_to_self_nxt_6_mnths","1",55,"0.723684"
"o_impct_to_self_nxt_6_mnths","2",17,"0.223684"
"o_impct_to_self_nxt_6_mnths","3",34,"0.447368"
"o_impct_to_self_nxt_6_mnths","4",41,"0.539474"
"o_impct_to_self_nxt_6_mnths","5",20,"0.263158"
"o_impct_to_self_nxt_6_mnths","6",30,"0.394737"
"o_impct_to_self_nxt_6_mnths","7",19,"0.25"
"o_impct_to_self_nxt_6_mnths","8",75,"0.986842"
"o_impct_to_self_nxt_6_mnths","9",76,"1"
"o_impct_to_self_nxt_6_mnths","Other",1,"0.0131579"
