"variable","value","total","perc_of_total"
"gender_category","1",69,"0.9078947"
"gender_category","2",7,"0.0921053"
"age_category","1",2,"0.0263158"
"age_category","2",61,"0.8026316"
"age_category","3",13,"0.1710526"
"edu_levl_category","2",11,"0.1447368"
"edu_levl_category","3",29,"0.3815789"
"edu_levl_category","4",23,"0.3026316"
"edu_levl_category","5",12,"0.1578947"
"edu_levl_category","6",1,"0.0131579"
"exp_category","1",1,"0.0131579"
"exp_category","2",4,"0.0526316"
"exp_category","3",43,"0.5657895"
"exp_category","4",12,"0.1578947"
"exp_category","5",16,"0.2105263"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","1",3,"0.0394737"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","2",3,"0.0394737"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","3",3,"0.0394737"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","4",3,"0.0394737"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","5",4,"0.0526316"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","6",4,"0.0526316"
"i_empl_jb_prsnt_status_prtl_switch_new_sctr","Other",0,"0"
"i_empl_jb_in_tourism_changed_to_add","1",2,"0.0263158"
"i_empl_jb_in_tourism_changed_to_add","2",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","3",2,"0.0263158"
"i_empl_jb_in_tourism_changed_to_add","4",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","5",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","6",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","7",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","8",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","9",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","10",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","11",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","12",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","13",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","14",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","15",2,"0.0263158"
"i_empl_jb_in_tourism_changed_to_add","16",3,"0.0394737"
"i_empl_jb_in_tourism_changed_to_add","Other",0,"0"
"i_empl_covid_effects","1",3,"0.0394737"
"i_empl_covid_effects","2",65,"0.855263"
"i_empl_covid_effects","3",72,"0.947368"
"i_empl_covid_effects","4",63,"0.828947"
"i_empl_covid_effects","5",70,"0.921053"
"i_empl_covid_effects","6",67,"0.881579"
"i_empl_covid_effects","7",70,"0.921053"
"i_empl_covid_effects","8",76,"1"
"i_empl_covid_effects","Other",6,"0.0789474"
"i_econ_covid_effects","1",64,"0.842105"
"i_econ_covid_effects","2",6,"0.0789474"
"i_econ_covid_effects","3",57,"0.75"
"i_econ_covid_effects","4",64,"0.842105"
"i_econ_covid_effects","5",59,"0.776316"
"i_econ_covid_effects","6",70,"0.921053"
"i_econ_covid_effects","7",72,"0.947368"
"i_econ_covid_effects","8",72,"0.947368"
"i_econ_covid_effects","9",76,"1"
"i_econ_covid_effects","Other",4,"0.0526316"
"p_econ_hhd_items_pre_covid","1",21,"0.276316"
"p_econ_hhd_items_pre_covid","2",26,"0.342105"
"p_econ_hhd_items_pre_covid","3",60,"0.789474"
"p_econ_hhd_items_pre_covid","4",54,"0.710526"
"p_econ_hhd_items_pre_covid","5",51,"0.671053"
"p_econ_hhd_items_pre_covid","6",70,"0.921053"
"p_econ_hhd_items_pre_covid","7",7,"0.0921053"
"p_econ_hhd_items_pre_covid","8",61,"0.802632"
"p_econ_hhd_items_pre_covid","9",48,"0.631579"
"p_econ_hhd_items_pre_covid","10",76,"1"
"p_econ_hhd_items_pre_covid","11",75,"0.986842"
"p_econ_hhd_items_pre_covid","12",76,"1"
"p_econ_hhd_items_post_covid","1",27,"0.355263"
"p_econ_hhd_items_post_covid","2",40,"0.526316"
"p_econ_hhd_items_post_covid","3",63,"0.828947"
"p_econ_hhd_items_post_covid","4",65,"0.855263"
"p_econ_hhd_items_post_covid","5",60,"0.789474"
"p_econ_hhd_items_post_covid","6",75,"0.986842"
"p_econ_hhd_items_post_covid","7",8,"0.105263"
"p_econ_hhd_items_post_covid","8",68,"0.894737"
"p_econ_hhd_items_post_covid","9",58,"0.763158"
"p_econ_hhd_items_post_covid","10",75,"0.986842"
"p_econ_hhd_items_post_covid","11",76,"1"
"p_econ_hhd_items_post_covid","12",74,"0.973684"
"p_hlth_hhs_training_src","1",3,"0.0394737"
